time,psi
0.03,1.0
0.06,1.0
0.1,1.0
0.13,1.0
0.16,1.0
0.19,1.0
0.22,1.0
0.26,1.0
0.29,1.0
0.32,1.0
0.35,1.0
0.38,1.0
0.42,1.0
0.45,1.0
0.48,1.0
0.51,1.0
0.54,1.0
0.58,1.0
0.61,1.0
0.64,1.0
0.67,1.0
0.7,1.0
0.74,1.0
0.77,1.0
0.8,1.0
0.83,1.0
0.86,1.0
0.9,1.0
0.93,1.0
0.96,1.0
0.99,1.0
1.02,1.0
1.06,1.0
1.09,1.0
1.12,1.0
1.15,1.0
1.18,1.0
1.22,1.0
1.25,1.0
1.28,1.0
1.31,1.0
1.34,1.0
1.38,1.0
1.41,1.0
1.44,1.0
1.47,1.0
1.5,1.0
1.54,1.0
1.57,1.0
1.6,1.0
1.63,1.0
1.66,1.0
1.7,1.0
1.73,1.0
1.76,1.0
1.79,1.0
1.82,1.0
1.86,1.0
1.89,1.0
1.92,1.0
1.95,1.0
1.98,1.0
2.02,1.0
2.05,1.0
2.08,1.0
2.11,1.0
2.14,1.0
2.18,1.0
2.21,1.0
2.24,1.0
2.27,1.0
2.3,1.0
2.34,1.0
2.37,1.0
2.4,1.0
2.43,1.0
2.46,1.0
2.5,1.0
2.53,1.0
2.56,1.0
2.59,1.0
2.62,1.0
2.66,1.0
2.69,1.0
2.72,1.0
2.75,1.0
2.78,1.0
2.82,1.0
2.85,1.0
2.88,1.0
2.91,1.0
2.94,1.0
2.98,1.0
3.01,1.0
3.04,1.0
3.07,1.0
3.1,1.0
3.14,1.0
3.17,1.0
3.2,1.0
3.23,1.0
3.26,1.0
3.3,1.0
3.33,1.0
3.36,1.0
3.39,1.0
3.42,1.0
3.46,1.0
3.49,1.0
3.52,1.0
3.55,1.0
3.58,1.0
3.62,1.0
3.65,1.0
3.68,1.0
3.71,1.0
3.74,1.0
3.78,1.0
4.32,1.0
4.86,1.0
4.9,1.0
4.93,1.0
4.96,1.0
4.99,1.0
5.02,1.0
5.06,1.0
5.09,1.0
5.12,1.0
5.15,1.0
5.18,1.0
5.22,1.0
5.25,1.0
5.28,1.0
5.31,1.0
5.34,1.0
5.38,1.0
5.41,1.0
5.44,1.0
5.47,1.0
5.5,1.0
5.54,1.0
5.57,1.0
5.6,1.0
5.63,1.0
5.66,1.0
5.7,1.0
5.73,1.0
5.76,1.0
5.79,1.0
5.82,1.0
5.86,1.0
5.89,1.0
5.92,1.0
5.95,1.0
5.98,1.0
6.02,1.0
6.05,1.0
6.08,1.0
6.11,1.0
6.14,1.0
6.18,1.0
6.21,1.0
6.24,0.942
6.27,0.942
6.3,0.942
6.34,0.942
6.37,0.942
6.4,0.942
6.43,0.942
6.46,0.942
6.5,0.942
6.53,0.942
6.56,0.942
6.59,0.942
6.62,0.942
6.66,0.942
6.69,0.942
6.72,0.942
6.75,0.942
6.78,0.942
6.82,0.942
6.85,0.942
6.88,0.942
6.91,0.942
6.94,0.942
6.98,0.942
7.01,0.942
7.04,0.942
7.07,0.942
7.1,0.942
7.14,0.942
7.17,0.942
7.2,0.942
7.23,0.942
7.26,0.942
7.3,0.942
7.33,0.942
7.36,0.942
7.39,0.942
7.42,0.942
7.46,0.942
7.49,0.942
7.52,0.942
7.55,0.942
7.58,0.942
7.62,0.942
7.65,0.942
7.68,0.942
7.71,0.942
7.74,0.942
7.78,0.942
7.81,0.942
7.84,0.942
7.87,0.942
7.9,0.942
7.94,0.942
7.97,0.942
8.0,0.942
8.03,0.942
8.06,0.942
8.1,0.942
8.13,0.942
8.16,0.942
8.19,0.942
8.22,0.942
8.26,0.942
8.29,0.942
8.32,0.942
8.35,0.942
8.38,0.942
8.42,0.942
8.45,0.942
8.48,0.942
8.51,0.942
8.54,0.942
